기준년도,학교종류명,설립구분명,학교명,단과대학명,학과명(전공),구분명,학과특성명,남자졸업자수(A)(명),여자졸업자수(A)(명),건강보험연계남자취업자수(B)(명),건강보험연계여자취업자수(B)(명),해외남자취업자수(B)(명),해외여자취업자수(B)(명),영농업남자종사자수(B)(명),영농업여자종사자수(B)(명),개인창작활동남자종사자수(B)(명),개인창작활동여자종사자수(B)(명),1인남자창(사)업자수(B)(명),1인여자창(사)업자수(B)(명),남자프리랜서수(B)(명),여자프리랜서수(B)(명),진학자남자수(C)(명),진학자여자수(C)(명),입대자수(D)(명),취업불가능남자수(E)(명),취업불가능여자수(E)(명),외국인유학생남자수(F)(명),외국인유학생여자수(F)(명),건강보험직장가입제외남자대상자수(G)(명),건강보험직장가입제외여자대상자수(G)(명),남자기타인원수(명),여자기타인원수(명),남자미상인원수(명),여자미상인원수(명),취업률(%) [B/{A-(C+D+E+F+G))]x100(%),입학당시남자기취업자수(명),입학당시여자기취업자수(명),교내남자취업자수(명),교내여자취업자수(명),1차유지합계취업률(수시)(%),1차유지남자취업률(수시)(%),1차유지여자취업률(수시)(%),2차유지합계취업률(수시)(%),2차유지남자취업률(수시)(%),2차유지여자취업률(수시)(%),3차유지합계취업률(수시)(%),3차유지남자취업률(수시)(%),3차유지여자취업률(수시)(%),4차유지합계취업률(수시)(%),4차유지남자취업률(수시)(%),4차유지여자취업률(수시)(%)
2018,대학교,사립,대진대학교,휴먼IT공과대학,컴퓨터응용기계공학과,주간,일반과정,35,9,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,1,65.9,1,0,1,1,93.1,95.8,80,93.1,95.8,80,93.1,95.8,80,86.2,91.7,60
2018,대학교,사립,대진대학교,휴먼IT공과대학,컴퓨터소프트웨어융합전공,주간,일반과정,43,13,27,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,15,4,0,0,65.5,0,0,0,0,94.3,96.3,87.5,91.4,92.6,87.5,80,81.5,75,80,81.5,75
2017,대학교,사립,대진대학교 ,과학기술대학,컴퓨터공학과,주간,일반과정,64,17,41,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,20,8,0,0,65.4,2,1,1,0,96,97.6,88.9,92,92.7,88.9,84,82.9,88.9,82,80.5,88.9
2017,대학교,사립,대진대학교 ,휴먼IT공과대학,컴퓨터응용기계공학과,주간,일반과정,37,9,26,6,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6,3,0,0,79.5,1,1,0,0,90.6,92.3,83.3,84.4,88.5,66.7,78.1,84.6,50,78.1,84.6,50
2017,대학교,사립,대진대학교 ,과학기술대학,컴퓨터응용기계설계공학과,주간,일반과정,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,33.3,0,0,0,0,100,100,0,100,100,0,100,100,0,100,100,0
2016,대학교,사립,대진대학교 _본교,과학기술대학,컴퓨터응용기계설계공학과(0215870),주간,일반과정,31,5,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,대학교,사립,대진대학교 _본교,공과대학,컴퓨터응용기계설계공학과(0005667),주간,일반과정,10,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,대학교,사립,대진대학교 _본교,공과대학,컴퓨터공학과(0003772),주간,일반과정,6,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,대학교,사립,대진대학교 _본교,과학기술대학,컴퓨터공학과(0215871),주간,일반과정,33,11,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,대학교,사립,대진대학교 _본교,공과대학,컴퓨터공학과(0003772),주간,일반과정,68,14,37,5,0,0,0,0,0,0,1,0,1,2,4,1,0,0,0,0,1,0,0,25,5,0,0,60.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,대학교,사립,대진대학교 _본교,공과대학,컴퓨터응용기계설계공학과(0005667),주간,일반과정,31,7,19,6,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,8,0,0,0,76.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,대학교,사립,대진대학교 _본교,공과대학,컴퓨터공학과(0003772),주간,일반과정,68,6,46,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,18,2,1,0,70.4,3,1,0,0,0,,,0,,,0,,,0,,
2014,대학교,사립,대진대학교 _본교,공과대학,컴퓨터응용기계설계공학과(0005667),주간,일반과정,39,7,21,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,16,1,0,0,60.5,0,0,0,0,0,,,0,,,0,,,0,,
